2025-07-12 10:28:33,255 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2025-07-12 10:28:36,114 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2025-07-12 10:28:49,231 [INFO] Phone migrated to 4
2025-07-12 10:28:49,414 [INFO] Reconnecting to new data center 4
2025-07-12 10:28:49,560 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-12 10:28:49,561 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-12 10:28:49,562 [INFO] Connecting to 149.154.167.91:443/TcpFull...
2025-07-12 10:28:51,255 [INFO] Connection to 149.154.167.91:443/TcpFull complete!
2025-07-12 10:29:07,392 [INFO] \U0001f501 Starting lobelia4cosmetics
2025-07-12 10:35:18,932 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:19,293 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:22,265 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:24,814 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:29,014 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:32,767 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:37,104 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:37,495 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:39,774 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:35:41,943 [ERROR] Failed scraping tikvahpharma: Object of type datetime is not JSON serializable
2025-07-12 10:35:41,943 [INFO] Disconnecting from 149.154.167.91:443/TcpFull...
2025-07-12 10:35:41,943 [INFO] Disconnection from 149.154.167.91:443/TcpFull complete!
